,affiliation_locations,affiliation_names,first_name,last_name
82,"['Northridge, CA, USA']",['Harman International'],James,Bunning
83,"['Erlangen, Germany']",['Fraunhofer IIS'],Elena,Burdiel Pérez
84,"['Brooklyn, NY, USA']","['DamianL, Inc.']",Chris,Burke
85,"['Northridge, CA, USA']",['Harman International'],Doug,Button
86,"['Washington, DC']",['NPR'],Rob,Byers
87,['None'],[''],Eduardo,Cabra
88,"['Tampere, Finland']",['Tampere University of Technology'],Emre,Çakir
89,"['San Francisco, CA, USA']",['THX Ltd.'],Juan,Calle Benitez
90,"['Parma, Italy']",['Contralto Audio srl'],Paolo,Calza
91,"['Austrian TV', 'European Broadcasting Union']","['ORF', 'EBU']",Florian,Camerer
92,"['Rochester, NY, USA']",['University of Rochester'],Olivia,Canavan
93,"['Milan, Italy']",['Politecnico di Milano'],Antonio,Canclini
94,"['Köthen, Germany']",['Anhalt University of Applied Sciences'],Alexander,Carôt
95,"['San Francisco, CA, USA']",['Dolby Laboratories'],Tim,Carroll
96,"['Lowell, MA, USA']",['University of Massachusetts Lowell'],Alex,Case
97,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Diego,Caviedes Nozal
98,"['Valencia, CA, USA']",['Samsung Research America'],Adrian,Celestinos
99,"['Puidoux, Switzerland']",['Merging Technologies'],Claude,Cellier
100,"['New York, NY, USA']",['DTV Audio Group'],Roger,Charlesworth
101,"['Venice, CA, USA']",['Edward Cherney Company'],Ed,Cherney
102,"['Montreal, Quebec, Canada']",['McGill University'],Justin,Chervony
103,"['Birmingham, UK']",['Birmingham City University'],Matthew,Cheshire
104,"['Hamburg, Germany']",['HAW Hamburg'],Noé,Chevalier
105,"['London, UK']",['Queen Mary University London'],Elaine,Chew
106,"['Milan, Italy']",['Contralto Audio srl'],Letizia,Chisari
107,['None'],"['Artificial Intelligence Research Center, Korea Electronics Technology Institute']",Choongsang,Cho
108,"['Cracow, Poland', 'Kepno, Poland']","['AGH University of Science and Technology', 'Mega-Acoustic']",Bartlomiej,Chojnacki
109,"['Suwon, Korea']","['Samsung Electronics Co., Ltd.']",Kihyun,Choo
110,"['Manchester, UK']",['Naked Productions'],Tony,Churnside
111,['None'],['None'],Richard,Chycki
112,"['Old Lyme, CT USA']",['Sennheiser'],Joe,Ciaudelli
113,"['Guildford, Surrey, UK']",['University of Surrey'],Craig,Cieciura
114,['None'],"['Manhattan Sound Technicians, Inc.']",Eddie,Ciletti
115,"['Belo Horizonte, Brazil']",['Walters Storyk Design Group'],Renato,Cipriano
116,['None'],['Clair Global'],Troy,Clair
117,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],César,Clares-Crespo
118,['None'],['Live Sound International'],Keith,Clark
119,['None'],['CP Communications'],Henry,Cohen
120,['None'],['None'],Reuben,Cohen
121,['None'],['None'],Linda,Cole
122,"['Guildford, Surrey, UK']",['University of Surrey'],Philip,Coleman
123,"['Milan, Italy']",['Politecnico di Milano'],Luca,Comanducci
124,"['Marcoussis, France']",['L-Acoustics'],Christophe,Combet
125,"['Kansas City, KS, USA', 'None']","['Kansas City Kansas Community College', 'off-beat-open-hats recording & sound reinforcement']",Ian,Corbett
126,"['Marcoussis, France']",['L-Acoustics'],Etienne,Corteel
127,"['Marcoussis, France']",['L-Acoustics'],Hugo,Coste Dombre
128,"['Salford, UK']",['University of Salford'],Trevor,Cox
129,"['Rochester, NY, USA']",['University of Rochester'],Steven,Crawford
